"Step","ruby-20231106_104248 - train_loss","ruby-20231106_104248 - train_loss__MIN","ruby-20231106_104248 - train_loss__MAX","php-20231102_160100 - train_loss","php-20231102_160100 - train_loss__MIN","php-20231102_160100 - train_loss__MAX","java-20231101_090754 - train_loss","java-20231101_090754 - train_loss__MIN","java-20231101_090754 - train_loss__MAX","go-20231031_120958 - train_loss","go-20231031_120958 - train_loss__MIN","go-20231031_120958 - train_loss__MAX","javascript-20231029_122314 - train_loss","javascript-20231029_122314 - train_loss__MIN","javascript-20231029_122314 - train_loss__MAX","python-20231028_204326 - train_loss","python-20231028_204326 - train_loss__MIN","python-20231028_204326 - train_loss__MAX"
"930","4.5401","4.5401","4.5401","4.7352","4.7352","4.7352","4.7545","4.7545","4.7545","2.694","2.694","2.694","4.1437","4.1437","4.1437","4.3333","4.3333","4.3333"
"940","4.5301","4.5301","4.5301","4.7231","4.7231","4.7231","4.7438","4.7438","4.7438","2.6917","2.6917","2.6917","4.1338","4.1338","4.1338","4.3234","4.3234","4.3234"
"950","4.5208","4.5208","4.5208","4.7107","4.7107","4.7107","4.7329","4.7329","4.7329","2.6896","2.6896","2.6896","4.1233","4.1233","4.1233","4.3135","4.3135","4.3135"
"960","4.5119","4.5119","4.5119","4.6991","4.6991","4.6991","4.7224","4.7224","4.7224","2.6856","2.6856","2.6856","4.1132","4.1132","4.1132","4.3034","4.3034","4.3034"
"970","4.503","4.503","4.503","4.687","4.687","4.687","4.7124","4.7124","4.7124","2.6841","2.6841","2.6841","4.1033","4.1033","4.1033","4.2935","4.2935","4.2935"
"980","4.4938","4.4938","4.4938","4.6754","4.6754","4.6754","4.7016","4.7016","4.7016","2.6826","2.6826","2.6826","4.0935","4.0935","4.0935","4.2837","4.2837","4.2837"
"990","4.4845","4.4845","4.4845","4.6636","4.6636","4.6636","4.6909","4.6909","4.6909","2.68","2.68","2.68","4.0839","4.0839","4.0839","4.2746","4.2746","4.2746"
"1000","4.4759","4.4759","4.4759","4.6518","4.6518","4.6518","4.6807","4.6807","4.6807","2.6788","2.6788","2.6788","4.0744","4.0744","4.0744","4.2654","4.2654","4.2654"
"1010","4.467","4.467","4.467","4.6408","4.6408","4.6408","4.6711","4.6711","4.6711","2.6765","2.6765","2.6765","4.0646","4.0646","4.0646","4.2559","4.2559","4.2559"
"1020","4.4584","4.4584","4.4584","4.6297","4.6297","4.6297","4.661","4.661","4.661","2.6764","2.6764","2.6764","4.056","4.056","4.056","4.2467","4.2467","4.2467"
"1030","4.4495","4.4495","4.4495","4.6184","4.6184","4.6184","4.6515","4.6515","4.6515","2.6748","2.6748","2.6748","4.0468","4.0468","4.0468","4.2375","4.2375","4.2375"
"1040","4.441","4.441","4.441","4.6076","4.6076","4.6076","4.6414","4.6414","4.6414","2.6727","2.6727","2.6727","4.0373","4.0373","4.0373","4.2288","4.2288","4.2288"
"1050","4.4327","4.4327","4.4327","4.597","4.597","4.597","4.6312","4.6312","4.6312","2.6719","2.6719","2.6719","4.0277","4.0277","4.0277","4.22","4.22","4.22"
